pintr_dif,O_sd,C_sd,E_sd,A_sd,N_sd,male,leeftijd,oplzon,ideology,ay09a018,ay09b018,cp09b024,cp09b034,cp09b044,cp09b054,cp09b059,cp09b064,cp09b069,cp09b029rc,cp09b039rc,cp09b049rc
-1,0.7335327092674091,0.5689110972692454,0.18409678966660414,0.4346127538132617,-0.5100771092215178,0,26,5,5,5,6,4,3,5,5,4,4,5,4,4,4
1,-0.908062133138746,-0.3831796906800169,0.025254586148818092,-0.797448985122055,-0.5100771092215178,1,38,2,7,3,2,3,3,3,3,2,2,2,2,2,4
0,0.015334965714716276,0.6641201760641716,0.3429389931843902,0.7426281885470909,-0.8121007886312855,0,28,4,NA,2,2,4,2,4,4,2,2,4,4,4,5
-1,-0.6002631001875919,-1.3352704786292793,-0.8483775331990051,-1.4134798545897134,1.226559047384646,1,58,6,6,4,5,4,2,3,2,3,2,3,3,3,4
2,0.5283333539666397,-0.5735978482698694,0.6606234002199622,-0.07874630407645358,-0.05704159010686648,1,19,5,0,5,3,5,4,4,4,4,4,4,4,3,4
0,0.22053432101548567,0.9497474124489503,0.18409678966660414,0.02392550750148947,-0.3590652695166341,0,39,5,5,2,2,5,3,4,5,3,3,2,5,3,4
2,0.5283333539666397,0.37849293967939296,0.7400445019788553,0.3319409422353186,-0.5100771092215178,1,60,2,NA,5,3,4,2,5,4,4,4,5,4,4,4
1,0.425733676316255,0.37849293967939296,0.5812022984610692,0.3319409422353186,-0.43457118936907596,1,87,2,6,5,4,5,5,4,4,2,4,4,4,3,4
3,-0.08726471193566841,-0.47838876947494313,0.10467568790771112,-0.38676173881028275,0.16947616945045924,1,21,2,NA,4,1,4,4,3,3,3,3,3,4,4,3
0,0.7335327092674091,-0.5735978482698694,-0.13358761736896796,0.12659731907943253,0.24498208930290113,0,51,6,1,6,6,4,4,4,5,4,4,4,4,5,4
2,0.32313399866587034,-0.47838876947494313,0.26351789142549714,-0.18141811565439664,-0.05704159010686648,0,42,5,7,5,3,4,2,4,4,3,3,4,5,5,4
0,-0.18986438958605312,0.1880747820895405,0.18409678966660414,-0.28408992723233967,0.3959939290077849,0,34,5,6,2,2,4,3,3,4,3,2,3,4,3,4
1,-0.6002631001875919,-0.9544341634495742,0.6606234002199622,0.02392550750148947,0.16947616945045924,1,19,4,8,4,3,4,4,2,3,2,2,3,3,3,3
1,-0.18986438958605312,-0.002343375500311962,0.5017811967021762,-0.4894335503882258,-0.2080534298117503,1,74,3,8,5,4,4,3,3,4,3,3,3,4,3,3
0,-0.08726471193566841,0.2832838608844667,0.025254586148818092,-0.07874630407645358,0.5470057687126687,0,49,2,NA,1,1,3,4,4,4,2,4,3,3,3,4
1,-1.0106618107891308,-0.19276153309016442,-0.371850922645647,-1.002792608277941,-0.28355934966419216,0,79,5,8,4,3,4,2,2,4,3,2,2,2,2,2
0,-0.6002631001875919,-0.002343375500311962,-0.13358761736896796,-0.797448985122055,0.24498208930290113,0,41,2,5,2,2,3,2,4,3,3,3,3,3,2,3
3,0.11793464336510097,-0.5735978482698694,0.025254586148818092,0.7426281885470909,0.16947616945045924,0,31,2,NA,4,1,3,4,3,4,3,4,4,3,3,5
-1,-0.3950637448868225,0.09286570329461427,0.025254586148818092,-0.38676173881028275,0.32048800915534303,0,25,4,NA,1,2,3,2,3,4,2,3,3,4,4,3
0,1.0413317422185633,0.09286570329461427,-0.13358761736896796,-0.07874630407645358,-0.8121007886312855,1,31,5,7,5,5,5,4,4,5,3,5,4,5,5,5
0,0.32313399866587034,0.2832838608844667,0.10467568790771112,0.12659731907943253,-0.2080534298117503,1,63,4,7,7,7,4,4,3,4,3,4,4,4,4,4
0,-0.6002631001875919,-0.6688069270647956,-0.21300871912786096,-0.797448985122055,0.16947616945045924,0,40,2,6,2,2,3,3,3,3,2,3,3,3,3,3
-1,0.32313399866587034,-0.6688069270647956,-0.45127202440454,0.3319409422353186,-0.28355934966419216,0,32,6,NA,4,5,4,3,3,5,4,3,3,5,4,4
1,0.7335327092674091,0.37849293967939296,0.9783078072555343,0.22926913065737559,-0.43457118936907596,0,28,5,6,4,3,5,4,4,5,5,2,4,4,4,5
0,0.015334965714716276,-0.47838876947494313,-0.8483775331990051,-1.002792608277941,0.6980176084175526,1,33,4,6,2,2,4,4,3,4,3,4,3,3,3,4
0,1.1439314198689479,1.0449564912438765,-0.292429820886754,-0.694777173544112,0.32048800915534303,1,44,6,4,5,5,5,4,4,5,5,5,4,5,5,4
1,-0.4976634225372072,-0.6688069270647956,-0.13358761736896796,-0.4894335503882258,0.6225116885651106,1,65,2,7,5,4,3,3,3,2,3,3,3,4,3,3
0,-0.2924640672364378,0.5689110972692454,-0.6895353296812191,0.3319409422353186,-0.05704159010686648,0,27,4,6,5,5,3,1,3,4,1,4,3,4,5,4
3,-0.3950637448868225,-0.28797061188509065,-0.21300871912786096,-0.797448985122055,-0.05704159010686648,1,49,2,7,4,1,2,4,4,3,2,4,3,3,3,3
-1,-0.08726471193566841,-0.002343375500311962,0.5017811967021762,-0.38676173881028275,-0.2080534298117503,0,63,1,8,3,4,4,4,4,4,3,4,3,3,3,2
1,1.1439314198689479,0.1880747820895405,0.10467568790771112,-0.07874630407645358,0.47149984886022683,0,48,6,3,6,5,4,5,4,5,4,4,5,5,5,5
0,0.425733676316255,0.4737020184743192,1.0577289090144273,0.22926913065737559,0.24498208930290113,0,23,5,NA,4,4,4,4,4,4,3,4,4,4,4,4
2,0.9387320645681785,-0.6688069270647956,0.7400445019788553,0.8453000001250339,-0.8121007886312855,0,46,6,NA,3,1,4,5,4,5,3,4,5,5,4,5
0,0.5283333539666397,-0.47838876947494313,0.5812022984610692,-0.797448985122055,0.47149984886022683,0,30,2,10,1,1,4,5,5,4,4,4,4,2,3,5
-1,-0.3950637448868225,-0.28797061188509065,0.025254586148818092,-0.28408992723233967,-0.5100771092215178,1,20,5,3,3,4,2,4,3,5,1,4,3,3,2,4
0,0.7335327092674091,-0.28797061188509065,0.9783078072555343,0.6399563769691478,-0.7365948687788436,1,55,6,3,6,6,4,5,5,5,3,4,5,5,5,1
0,0.22053432101548567,-0.28797061188509065,-0.530693126163433,-0.18141811565439664,0.16947616945045924,0,42,6,5,4,4,3,4,4,5,4,4,4,3,4,2
2,0.015334965714716276,0.09286570329461427,-0.13358761736896796,0.22926913065737559,0.16947616945045924,1,77,2,5,4,2,4,3,4,4,3,5,4,3,2,3
0,-0.18986438958605312,0.37849293967939296,0.4223600949432832,0.947971811702977,-0.6610889489264017,0,70,2,5,4,4,4,4,4,4,3,3,4,3,1,3
1,-0.3950637448868225,-0.09755245429523819,-0.054166515610074926,0.02392550750148947,-0.1325475099593084,0,64,4,4,7,6,3,3,3,3,3,4,3,3,3,3
1,-0.3950637448868225,0.09286570329461427,-0.292429820886754,-1.002792608277941,-0.28355934966419216,1,47,2,NA,2,1,3,3,3,4,2,3,3,4,3,3
0,-0.18986438958605312,0.37849293967939296,0.6606234002199622,0.947971811702977,-0.5100771092215178,0,62,4,4,5,5,4,2,3,5,3,3,3,4,3,3
1,0.5283333539666397,-0.47838876947494313,-0.371850922645647,0.12659731907943253,0.8490294481224363,1,49,5,4,7,6,5,4,4,4,3,4,4,4,4,4
-1,-0.18986438958605312,-0.09755245429523819,0.025254586148818092,-0.694777173544112,-0.05704159010686648,1,43,5,NA,3,4,3,3,3,4,3,3,3,4,3,4
1,-0.3950637448868225,0.2832838608844667,0.3429389931843902,0.5372845653912047,0.16947616945045924,0,44,2,NA,2,1,4,2,3,4,1,4,3,3,2,5
0,0.6309330316170244,0.8545383336540241,-0.13358761736896796,0.02392550750148947,-0.2080534298117503,1,27,6,NA,5,5,4,5,5,5,2,4,5,5,5,1
2,0.8361323869177938,0.2832838608844667,0.5017811967021762,0.12659731907943253,-0.2080534298117503,0,22,5,3,5,3,4,4,3,5,4,4,4,5,5,5
0,0.22053432101548567,-0.28797061188509065,0.26351789142549714,0.22926913065737559,-0.2080534298117503,0,31,5,6,4,4,3,4,3,4,2,4,4,4,5,4
-2,0.425733676316255,0.37849293967939296,0.10467568790771112,-0.38676173881028275,0.32048800915534303,1,20,2,NA,3,5,4,5,4,5,3,5,4,3,4,2
0,-0.18986438958605312,0.1880747820895405,-0.45127202440454,0.12659731907943253,0.47149984886022683,0,31,6,4,2,2,3,2,3,4,4,4,3,4,4,2
0,-0.4976634225372072,-0.09755245429523819,0.3429389931843902,0.02392550750148947,0.24498208930290113,0,73,1,6,1,1,2,3,4,3,2,4,3,3,3,3
0,-0.6002631001875919,0.5689110972692454,-0.45127202440454,0.6399563769691478,0.018464329745575422,1,66,5,5,6,6,4,2,3,4,2,4,2,3,2,3
0,0.22053432101548567,0.2832838608844667,0.4223600949432832,0.12659731907943253,0.24498208930290113,0,53,3,4,5,5,4,3,4,4,3,3,4,4,4,4
0,0.11793464336510097,0.5689110972692454,-0.054166515610074926,-0.18141811565439664,-0.7365948687788436,1,63,2,0,6,6,4,4,4,4,3,4,4,3,3,3
1,-0.08726471193566841,-0.09755245429523819,0.5812022984610692,-0.07874630407645358,-0.2080534298117503,1,19,2,NA,5,4,3,3,4,4,2,4,4,3,3,4
0,-0.08726471193566841,0.7593292548590979,0.10467568790771112,0.7426281885470909,0.16947616945045924,0,51,2,NA,5,5,3,2,4,5,3,5,3,3,3,3
0,0.015334965714716276,0.1880747820895405,-0.45127202440454,0.02392550750148947,0.24498208930290113,0,30,4,5,3,3,4,4,4,4,2,2,4,4,3,4
0,0.8361323869177938,-0.3831796906800169,-0.054166515610074926,-0.900120796699998,0.3959939290077849,1,42,5,7,5,5,5,4,4,4,4,4,5,5,4,4
1,-0.6002631001875919,-0.002343375500311962,-0.8483775331990051,-0.07874630407645358,0.6980176084175526,1,66,5,3,6,5,2,3,2,3,2,4,3,4,4,2
-1,0.22053432101548567,0.5689110972692454,0.7400445019788553,0.3319409422353186,-0.28355934966419216,0,50,2,NA,2,3,4,2,4,4,2,4,4,5,4,4
1,-0.3950637448868225,0.1880747820895405,0.18409678966660414,0.3319409422353186,0.09397024959801732,0,72,2,7,5,4,4,2,3,4,1,4,3,3,3,4
0,-0.18986438958605312,0.5689110972692454,-0.6101142279223261,0.22926913065737559,0.6225116885651106,0,35,4,NA,3,3,4,3,3,4,3,4,2,3,3,4
0,0.015334965714716276,-1.1448523210394268,0.9783078072555343,0.02392550750148947,-0.5100771092215178,0,31,3,9,5,5,4,2,4,4,3,3,3,4,4,4
-2,0.11793464336510097,-0.5735978482698694,0.5017811967021762,-0.797448985122055,0.16947616945045924,1,32,4,3,3,5,5,2,4,4,2,3,4,3,4,5
0,-0.08726471193566841,0.09286570329461427,-0.45127202440454,-0.900120796699998,-0.05704159010686648,1,57,2,3,5,5,3,4,4,3,3,3,4,3,3,4
5,-0.4976634225372072,-0.47838876947494313,-0.371850922645647,-0.797448985122055,0.3959939290077849,0,51,1,NA,6,1,3,3,3,3,3,3,3,3,3,3
1,0.6309330316170244,0.37849293967939296,0.5017811967021762,-0.07874630407645358,-0.8876067084837274,1,52,5,NA,5,4,4,5,4,4,1,4,4,5,5,5
0,0.5283333539666397,-0.002343375500311962,0.7400445019788553,-1.3108080430117701,-0.8121007886312855,1,52,2,8,6,6,4,3,4,5,3,4,5,5,3,4
0,0.425733676316255,-0.09755245429523819,0.8988867054966413,0.3319409422353186,0.32048800915534303,0,23,5,NA,4,4,4,4,4,4,3,4,4,4,4,4
0,-0.08726471193566841,-0.28797061188509065,-0.21300871912786096,-0.4894335503882258,0.16947616945045924,1,24,5,7,1,1,4,4,4,4,2,4,4,4,2,2
1,0.8361323869177938,1.0449564912438765,0.5017811967021762,0.7426281885470909,-0.8121007886312855,0,38,3,8,6,5,5,2,5,5,5,5,4,4,3,5
0,0.7335327092674091,0.1880747820895405,0.4223600949432832,0.5372845653912047,0.24498208930290113,0,50,6,5,7,7,5,5,4,4,4,4,5,3,3,5
1,-0.7028627778379766,0.5689110972692454,0.025254586148818092,-0.07874630407645358,0.6225116885651106,1,70,5,7,5,4,3,3,3,3,1,3,3,3,3,3
0,0.015334965714716276,0.09286570329461427,-0.6101142279223261,-0.07874630407645358,0.47149984886022683,0,47,2,NA,1,1,3,4,4,4,2,4,4,3,3,4
0,-0.08726471193566841,-0.5735978482698694,-0.13358761736896796,0.22926913065737559,0.47149984886022683,0,37,4,NA,2,2,3,4,4,4,2,3,4,3,3,4
0,0.22053432101548567,-0.5735978482698694,0.7400445019788553,0.02392550750148947,-0.5855830290739598,0,40,6,3,5,5,4,4,3,4,3,4,4,4,3,4
1,-0.2924640672364378,0.37849293967939296,-0.292429820886754,0.12659731907943253,-0.9631126283361693,1,41,4,8,5,4,5,2,3,4,2,3,2,4,4,3
1,-0.18986438958605312,0.1880747820895405,-0.7689564314401122,0.22926913065737559,0.6980176084175526,0,51,2,NA,3,2,3,3,3,4,3,4,3,4,3,3
0,0.32313399866587034,0.6641201760641716,0.6606234002199622,0.12659731907943253,0.3959939290077849,1,42,3,2,4,4,4,5,5,4,3,4,4,4,4,1
1,-0.3950637448868225,-0.28797061188509065,0.025254586148818092,-0.694777173544112,-0.2080534298117503,1,59,4,NA,5,4,4,2,4,4,2,3,4,3,3,2
0,1.2465310975193327,0.6641201760641716,0.26351789142549714,-0.5921053619661688,0.24498208930290113,1,42,5,7,6,6,5,5,4,4,5,4,5,5,5,5
1,-0.3950637448868225,-0.5735978482698694,0.10467568790771112,-0.38676173881028275,0.09397024959801732,0,25,5,NA,3,2,2,3,4,3,3,5,4,3,3,1
0,-0.18986438958605312,-0.09755245429523819,-0.13358761736896796,-0.07874630407645358,0.16947616945045924,0,35,4,NA,4,4,3,3,4,3,1,4,3,5,3,4
1,0.015334965714716276,-0.3831796906800169,-0.530693126163433,-0.18141811565439664,0.7735235282699945,0,52,6,NA,5,4,4,4,4,4,2,4,4,4,2,3
-1,-0.2924640672364378,-0.09755245429523819,0.18409678966660414,0.02392550750148947,-0.05704159010686648,0,55,4,NA,2,3,3,2,3,4,3,3,3,4,4,3
0,-1.0106618107891308,-0.09755245429523819,0.025254586148818092,-0.900120796699998,0.018464329745575422,1,46,1,3,3,3,2,2,4,2,1,3,4,2,2,3
1,-0.6002631001875919,-0.9544341634495742,-0.6101142279223261,-0.900120796699998,0.24498208930290113,0,37,2,8,3,2,3,3,3,2,3,3,3,3,3,3
-1,-0.6002631001875919,-1.5256886362191315,0.3429389931843902,-0.797448985122055,-0.05704159010686648,0,18,2,7,1,2,3,4,3,3,2,2,3,3,3,3
-1,-0.3950637448868225,0.1880747820895405,-0.292429820886754,0.12659731907943253,-0.28355934966419216,1,59,4,4,4,5,4,3,3,3,3,4,3,3,2,3
0,-0.6002631001875919,-0.09755245429523819,-0.6895353296812191,-0.28408992723233967,0.7735235282699945,0,48,2,NA,1,1,3,3,3,3,3,3,3,3,3,2
0,0.32313399866587034,0.9497474124489503,0.3429389931843902,0.947971811702977,-0.3590652695166341,1,66,2,8,6,6,4,3,5,5,2,4,4,4,3,4
0,-0.3950637448868225,-0.002343375500311962,-0.13358761736896796,-0.07874630407645358,-0.3590652695166341,1,76,2,8,5,5,3,3,3,4,3,3,3,3,2,4
0,-0.18986438958605312,0.5689110972692454,0.10467568790771112,0.12659731907943253,0.16947616945045924,1,30,4,10,6,6,3,4,3,4,1,4,3,4,4,3
2,0.015334965714716276,-0.47838876947494313,0.3429389931843902,0.02392550750148947,0.16947616945045924,1,47,5,4,4,2,3,4,4,4,3,3,3,4,3,4
0,0.015334965714716276,-1.0496432422445006,-0.21300871912786096,0.22926913065737559,0.5470057687126687,0,23,5,3,2,2,3,4,3,3,2,3,4,4,4,5
1,0.32313399866587034,0.1880747820895405,0.10467568790771112,0.12659731907943253,0.24498208930290113,0,34,5,NA,2,1,4,4,4,4,3,4,4,4,3,4
0,0.22053432101548567,0.09286570329461427,-0.292429820886754,-0.07874630407645358,-0.1325475099593084,0,39,2,4,4,4,3,4,3,4,3,4,4,4,4,4
1,1.0413317422185633,-0.3831796906800169,-0.6101142279223261,-0.694777173544112,0.6225116885651106,1,19,3,NA,7,6,4,5,4,4,3,5,5,5,5,5
2,0.22053432101548567,0.37849293967939296,0.3429389931843902,0.12659731907943253,-0.1325475099593084,0,51,2,NA,3,1,2,5,3,3,3,5,5,3,3,5
1,-0.18986438958605312,-0.3831796906800169,-0.21300871912786096,0.02392550750148947,-0.05704159010686648,0,68,2,4,5,4,4,3,4,3,3,4,3,4,3,2
1,-0.4976634225372072,0.09286570329461427,-0.45127202440454,-0.18141811565439664,-0.5855830290739598,1,63,4,6,6,5,4,1,3,4,3,3,3,3,3,3
-1,-0.6002631001875919,-0.002343375500311962,-0.6101142279223261,-0.07874630407645358,0.09397024959801732,0,71,1,NA,2,3,3,3,3,3,2,3,3,3,3,3
1,-0.08726471193566841,0.09286570329461427,0.18409678966660414,0.22926913065737559,0.16947616945045924,0,58,5,NA,5,4,4,3,4,3,3,4,3,3,3,4
