terror,placebo,pintr,pintr_placebo,male,age,edu,party,O_sd,C_sd,E_sd,A_sd,N_sd,optrt5o1,optrt5o2,optrt5o3
NA,NA,-0,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,2,1,71,3,-8,-0.0258355476706488,-0.13780872439933817,0.09704007886863153,-0.06194908112597008,-0.3723750137593072,4,4,5
NA,NA,2,2,0,72,12,-8,0.24413733273341667,0.7784288634288612,-0.6097271950588146,0.2682413355085094,0.5115414912318469,1,7,7
NA,NA,1,-0,1,52,9,-1,-0.430794868276747,-0.2905149890373714,-0.7510806498443038,-0.06194908112597008,0.13272013194992371,4,2,4
NA,NA,2,1,0,39,6,-1,0.10915089253138394,0.47301633415279476,-0.3270202854878361,0.2682413355085094,0.13272013194992371,6,2,6
1,NA,1,NA,0,80,12,-8,-0.16082198787268154,-0.5959275183134378,0.23839353365412075,-0.06194908112597008,-0.49864880018661495,2,6,4
NA,NA,-0,-0,0,55,2,-8,1.054055973945613,-0.5959275183134378,0.8038073527960776,0.4333365438257492,0.38526770480453915,7,7,7
NA,NA,-0,-0,0,27,NA,10,0.10915089253138394,0.47301633415279476,1.086514262367056,0.7635269604602287,0.38526770480453915,4,3,7
NA,NA,-0,NA,0,21,9,11,0.3791237729354494,-0.2905149890373714,0.37974698843960997,-0.7223299143949291,0.2589939183772314,6,3,7
1,1,3,3,0,82,12,-8,-0.9707406290848779,-0.4432212536754046,-0.6097271950588146,-0.06194908112597008,-0.3723750137593072,4,1,1
1,NA,1,1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
0,1,-0,1,0,76,12,-8,-0.29580842807471425,-0.2905149890373714,-0.7510806498443038,-0.5572347060776893,0.38526770480453915,3,3,5
0,0,1,2,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
1,1,3,2,1,62,4,-8,0.5141102131374822,-1.0540463122275376,-1.0337875594152823,0.5984317521429889,1.0166366369410778,3,7,7
0,NA,2,2,0,61,4,-8,-0.0258355476706488,0.7784288634288612,-0.4683737402733254,0.2682413355085094,0.13272013194992371,4,4,5
0,NA,3,NA,1,75,12,-8,-0.16082198787268154,0.1676038048767283,0.09704007886863153,0.10314612719126968,0.2589939183772314,5,3,4
1,0,2,2,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
1,0,2,2,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,2,2,0,64,12,-8,-0.5657813084787797,-0.7486337829514711,-0.3270202854878361,-0.8874251227121689,0.2589939183772314,3,3,3
1,NA,1,1,1,62,12,-8,NA,0.7784288634288612,0.23839353365412075,0.5984317521429889,-1.003743945895846,7,NA,6
1,NA,1,1,0,62,7,-8,0.10915089253138394,0.7784288634288612,0.8038073527960776,0.10314612719126968,-0.2461012273319995,6,3,5
