pintr_dif,polint_pre,polint_post,O_sd,C_sd,E_sd,A_sd,N_sd,male,age,education,ideology,W3_f15771a,W3_f15771f,W3_f15770d
0,4,4,0.17435504452497544,0.27706572553448167,0.02816534963591646,0.25439412962074714,0.022811174462054412,1,67,13,3,7,7,7
NA,3,NA,NA,NA,NA,NA,NA,0,21,3,5,NA,NA,NA
NA,4,NA,NA,NA,NA,NA,NA,1,58,13,2,NA,NA,NA
0,3,3,0.8048763752689332,0.27706572553448167,-0.3537754302614303,-0.8254125027241344,-0.6838458261416214,1,58,9,NA,9,10,9
0,3,3,NA,NA,NA,NA,NA,1,43,13,6,NA,NA,NA
0,3,3,0.8048763752689332,0.04176628991827409,-0.8312014051331138,0.902278109027676,-0.6838458261416214,0,49,9,3,10,10,8
0,2,2,-0.45616628621898225,-0.8994314525465562,0.02816534963591646,-0.17752852331720548,-0.33051732583978344,1,47,10,8,0,8,6
NA,NA,NA,NA,NA,NA,NA,NA,0,42,2,NA,NA,NA,NA
0,3,3,0.17435504452497544,0.5123651611506892,0.41010612953326325,0.03843280315177083,0.7294681750657301,1,76,5,9,5,8,8
NA,NA,NA,NA,NA,NA,NA,NA,0,66,7,2,NA,NA,NA
0,4,4,-0.0958683829367207,-0.31118286350603724,0.5055913245075999,-0.3934898497861818,-0.33051732583978344,1,70,9,5,10,2,6
0,3,3,-0.45616628621898225,0.39471544334258546,0.31462093455892653,0.4703554560897234,-0.15385307568886453,1,47,5,6,1,7,6
0,3,3,0.08428056870441007,0.39471544334258546,-0.449260625235767,0.03843280315177083,-0.6838458261416214,1,59,2,3,7,8,5
0,3,3,0.17435504452497544,0.27706572553448167,0.9830172993792834,0.6863167825586997,-1.0371743264434592,0,56,5,2,8,8,5
NA,NA,2,0.08428056870441007,0.27706572553448167,0.41010612953326325,0.5783361193242116,0.37613967476389226,0,19,3,NA,5,8,7
NA,NA,3,0.17435504452497544,0.27706572553448167,0.5055913245075999,0.3623747928552353,0.7294681750657301,0,60,5,NA,9,8,4
0,1,1,-1.7172089477068977,-1.605329759395179,-0.8312014051331138,-1.2573351556620869,-0.33051732583978344,1,49,5,NA,0,0,0
NA,NA,3,-0.18594285875728608,0.39471544334258546,0.21913573958458984,0.4703554560897234,0.7294681750657301,1,64,7,7,3,7,7
0,3,3,0.35450399616610623,0.5123651611506892,0.5055913245075999,-0.7174318394896462,0.37613967476389226,1,59,5,5,9,5,9
NA,NA,NA,NA,NA,NA,NA,NA,1,24,12,8,NA,NA,NA
-1,2,3,-0.0958683829367207,0.630014878958793,-0.3537754302614303,0.4703554560897234,-0.06552095061340506,1,56,5,7,7,4,7
0,2,2,0.17435504452497544,-0.42883258131414104,0.5055913245075999,0.4703554560897234,-0.06552095061340506,1,54,5,7,2,10,9
NA,NA,NA,NA,NA,NA,NA,NA,0,51,13,0,NA,NA,NA
0,3,3,-0.0958683829367207,-0.7817817347384524,-1.117656990056124,0.4703554560897234,-0.15385307568886453,1,31,5,3,8,6,4
