pintr_dif,polint_pre,polint_post,O_sd,C_sd,E_sd,A_sd,N_sd,male,age,education,ideology,W3_f15771a,W3_f15771f,W3_f15770d
0,3,3,0.4445784719866716,-0.31118286350603724,0.21913573958458984,0.14641346638625896,-0.15385307568886453,1,27,12,8,9,9,6
NA,NA,NA,NA,NA,NA,NA,NA,0,36,12,2,NA,NA,NA
0,4,4,-0.2760173345778515,0.27706572553448167,0.9830172993792834,-0.5014705130206699,0.2878075496884328,1,47,9,10,1,6,9
NA,NA,NA,NA,NA,NA,NA,NA,1,57,13,1,NA,NA,NA
1,4,3,-0.8164641895012438,0.27706572553448167,-0.16280504031275692,-0.2855091865516936,-0.5955137010661619,1,61,5,8,3,2,5
NA,3,NA,NA,NA,NA,NA,NA,0,37,5,3,NA,NA,NA
NA,4,NA,NA,NA,NA,NA,NA,1,78,10,7,NA,NA,NA
1,4,3,0.08428056870441007,0.7476645967668968,-0.3537754302614303,0.3623747928552353,0.2878075496884328,0,68,7,10,5,10,5
NA,3,NA,NA,NA,NA,NA,NA,0,68,6,4,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,48,5,6,NA,NA,NA
0,4,4,0.17435504452497544,0.27706572553448167,-0.06731984533842024,0.3623747928552353,-0.33051732583978344,0,58,13,4,8,7,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,NA,NA,NA
-1,2,3,-0.2760173345778515,0.15941600772637787,-0.3537754302614303,0.03843280315177083,0.37613967476389226,0,61,12,2,5,9,2
NA,NA,1,-0.7263897136806784,0.39471544334258546,-0.449260625235767,-0.9333931659586225,0.19947542461297335,0,38,5,8,4,4,3
NA,NA,3,0.534652947807237,0.15941600772637787,-0.3537754302614303,0.3623747928552353,0.022811174462054412,0,33,6,NA,10,7,8
0,3,3,0.6247274236278024,0.39471544334258546,0.8875321044049467,0.4703554560897234,0.022811174462054412,1,62,13,0,9,9,8
0,4,4,0.35450399616610623,-0.42883258131414104,0.02816534963591646,0.14641346638625896,-0.5071815759907023,0,57,12,3,8,6,9
0,2,2,-0.2760173345778515,0.39471544334258546,0.5055913245075999,-0.2855091865516936,0.2878075496884328,0,45,13,2,8,4,4
0,3,3,-0.2760173345778515,-0.31118286350603724,-0.6402310151844404,0.14641346638625896,0.19947542461297335,0,58,5,2,5,6,5
1,4,3,0.985025326910064,0.5123651611506892,0.6010765194819366,0.03843280315177083,-0.4188494509152429,0,70,11,3,10,10,10
NA,NA,NA,NA,NA,NA,NA,NA,0,32,13,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,69,5,8,NA,NA,NA
1,2,1,0.35450399616610623,-0.42883258131414104,0.21913573958458984,-0.06954786008271732,0.4644717998393518,0,19,9,8,8,7,8
0,4,4,-0.7263897136806784,-0.42883258131414104,-0.3537754302614303,-0.3934898497861818,-0.24218520076432398,0,83,5,4,3,5,3
0,4,4,0.985025326910064,0.7476645967668968,-0.3537754302614303,-0.6094511762551581,0.7294681750657301,1,60,7,3,10,10,10
0,2,2,0.534652947807237,-0.19353314569793348,-0.2582902352870936,0.7942974457931878,0.37613967476389226,0,54,NA,3,9,7,9
1,4,3,-0.005793907116155319,0.04176628991827409,0.21913573958458984,0.03843280315177083,-0.6838458261416214,1,59,10,3,7,7,5
0,3,3,0.534652947807237,-0.42883258131414104,-0.16280504031275692,-0.6094511762551581,0.2878075496884328,1,36,13,6,8,8,9
-1,1,2,-0.9966131411423745,0.5123651611506892,0.31462093455892653,-1.0413738291931107,0.8178003001411897,1,65,4,NA,0,5,3
NA,3,NA,NA,NA,NA,NA,NA,1,86,5,NA,NA,NA,NA
0,3,3,-0.005793907116155319,0.27706572553448167,-1.2131421850304607,-0.6094511762551581,-0.33051732583978344,1,60,13,5,9,5,5
NA,NA,3,0.8949508510894986,-0.6641320169303486,0.12365054461025315,-0.17752852331720548,0.11114329953751388,0,57,12,6,10,10,9
0,3,3,0.35450399616610623,0.5123651611506892,-0.3537754302614303,-0.17752852331720548,0.11114329953751388,1,54,6,8,9,7,7
NA,3,NA,NA,NA,NA,NA,NA,0,62,12,3,NA,NA,NA
0,4,4,-0.005793907116155319,0.04176628991827409,-0.16280504031275692,0.14641346638625896,0.37613967476389226,1,78,10,3,6,8,5
0,3,3,-0.2760173345778515,0.04176628991827409,0.21913573958458984,0.25439412962074714,0.37613967476389226,0,38,11,3,5,6,5
NA,NA,2,-1.08668761696294,0.7476645967668968,0.41010612953326325,-0.5014705130206699,-0.33051732583978344,1,40,11,5,1,1,5
0,2,2,-0.45616628621898225,-0.0758834278898297,-0.3537754302614303,0.3623747928552353,-0.4188494509152429,0,41,6,5,4,6,4
0,4,4,0.534652947807237,0.630014878958793,0.7920469094306101,0.25439412962074714,0.11114329953751388,1,73,11,9,8,9,8
0,3,3,-0.3660918103984169,-0.7817817347384524,-0.2582902352870936,-0.6094511762551581,0.2878075496884328,0,77,12,6,8,5,2
0,3,3,0.7148018994483678,0.15941600772637787,-0.3537754302614303,0.03843280315177083,0.5528039249148112,1,20,5,9,8,10,9
NA,NA,NA,NA,NA,NA,NA,NA,1,53,5,4,NA,NA,NA
NA,4,NA,NA,NA,NA,NA,NA,1,28,13,10,NA,NA,NA
1,2,1,-0.45616628621898225,0.39471544334258546,0.02816534963591646,-0.7174318394896462,0.2878075496884328,1,60,5,5,4,5,5
NA,NA,3,-0.005793907116155319,0.27706572553448167,-0.16280504031275692,0.14641346638625896,0.4644717998393518,1,39,10,7,4,9,6
NA,NA,NA,NA,NA,NA,NA,NA,1,33,10,7,NA,NA,NA
1,3,2,0.26442952034554085,-1.2523806059708675,-1.117656990056124,0.4703554560897234,NA,1,46,5,4,6,8,8
NA,NA,4,-1.08668761696294,-0.7817817347384524,-1.3086273800047972,0.03843280315177083,0.8178003001411897,1,44,5,4,1,5,1
NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,5,NA,NA,NA
0,2,2,-0.45616628621898225,0.27706572553448167,-0.2582902352870936,0.14641346638625896,-0.06552095061340506,0,51,5,3,3,6,5
NA,4,NA,NA,NA,NA,NA,NA,1,73,10,8,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,52,3,5,NA,NA,NA
NA,3,NA,NA,NA,NA,NA,NA,0,46,5,6,NA,NA,NA
NA,NA,4,0.35450399616610623,0.7476645967668968,0.7920469094306101,-1.149354492427599,0.7294681750657301,0,46,10,10,10,7,6
0,3,3,0.08428056870441007,0.27706572553448167,-0.16280504031275692,0.5783361193242116,0.11114329953751388,1,44,6,2,8,3,9
-1,2,3,-0.3660918103984169,0.7476645967668968,0.12365054461025315,0.7942974457931878,-1.2138385765943782,1,50,13,10,5,5,5
0,3,3,0.26442952034554085,0.7476645967668968,0.12365054461025315,0.902278109027676,0.19947542461297335,0,73,5,7,10,7,5
NA,NA,3,-0.3660918103984169,0.27706572553448167,-0.449260625235767,-0.06954786008271732,0.6411360499902706,1,64,5,9,5,5,5
0,4,4,-0.3660918103984169,-0.19353314569793348,-0.6402310151844404,0.5783361193242116,-0.15385307568886453,1,60,10,4,3,6,6
0,4,4,-0.2760173345778515,-0.19353314569793348,0.21913573958458984,-0.6094511762551581,-0.8605100762925403,1,50,13,6,5,5,6
NA,NA,3,0.4445784719866716,-1.3700303237789713,-0.6402310151844404,0.3623747928552353,0.5528039249148112,0,64,12,3,9,9,6
0,1,1,-0.18594285875728608,0.27706572553448167,0.41010612953326325,-0.06954786008271732,-0.5955137010661619,1,32,13,NA,4,6,7
0,4,4,0.35450399616610623,0.5123651611506892,-0.2582902352870936,-0.9333931659586225,-0.15385307568886453,1,52,10,10,6,8,9
0,4,4,0.17435504452497544,0.27706572553448167,-0.5447458202101036,-0.6094511762551581,0.37613967476389226,1,66,9,8,7,8,6
0,3,3,-0.18594285875728608,-0.0758834278898297,0.02816534963591646,-0.17752852331720548,-0.33051732583978344,1,30,5,9,2,7,8
NA,NA,NA,NA,NA,NA,NA,NA,0,65,5,NA,NA,NA,NA
NA,NA,4,-0.18594285875728608,-0.31118286350603724,-0.6402310151844404,0.6863167825586997,0.7294681750657301,0,69,9,5,8,5,4
0,3,3,-0.18594285875728608,0.5123651611506892,0.31462093455892653,0.3623747928552353,0.2878075496884328,0,35,13,6,4,7,6
0,3,3,-0.18594285875728608,-0.7817817347384524,0.02816534963591646,0.4703554560897234,0.2878075496884328,0,64,12,7,6,6,5
0,3,3,0.26442952034554085,0.39471544334258546,0.31462093455892653,0.5783361193242116,0.2878075496884328,1,47,5,9,5,9,8
0,3,3,-0.9065386653218092,-0.8994314525465562,0.12365054461025315,0.25439412962074714,0.37613967476389226,0,52,7,4,5,2,2
1,4,3,0.7148018994483678,0.15941600772637787,0.21913573958458984,0.14641346638625896,-0.24218520076432398,1,NA,10,2,8,9,10
NA,NA,NA,NA,NA,NA,NA,NA,0,56,9,3,NA,NA,NA
0,2,2,-0.2760173345778515,-0.42883258131414104,-0.8312014051331138,0.3623747928552353,-1.1255064515189186,1,31,12,3,1,7,8
0,4,4,-0.636315237860113,0.630014878958793,0.02816534963591646,-0.9333931659586225,0.2878075496884328,0,47,9,2,0,4,8
NA,2,NA,NA,NA,NA,NA,NA,0,51,13,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,50,5,6,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,19,9,5,NA,NA,NA
-1,3,4,0.985025326910064,0.630014878958793,0.41010612953326325,0.03843280315177083,-0.8605100762925403,1,54,5,7,10,10,10
0,3,3,0.534652947807237,0.27706572553448167,0.41010612953326325,0.3623747928552353,0.2878075496884328,0,60,5,8,10,8,7
0,3,3,NA,NA,NA,NA,NA,1,68,11,6,NA,NA,NA
0,3,3,0.08428056870441007,-0.19353314569793348,0.21913573958458984,-0.7174318394896462,0.5528039249148112,0,38,12,3,8,6,6
1,3,2,0.17435504452497544,-0.5464822991222449,0.21913573958458984,0.4703554560897234,0.022811174462054412,1,60,5,5,4,9,8
1,3,2,0.8048763752689332,-1.01708117035466,-0.16280504031275692,0.14641346638625896,0.8178003001411897,0,23,9,2,10,9,9
0,4,4,0.985025326910064,0.27706572553448167,0.31462093455892653,0.25439412962074714,0.5528039249148112,0,54,13,1,10,10,10
0,4,4,NA,-0.31118286350603724,0.21913573958458984,-0.7174318394896462,0.11114329953751388,1,73,11,2,2,2,NA
0,3,3,-0.636315237860113,-0.0758834278898297,-0.449260625235767,-0.06954786008271732,0.5528039249148112,1,19,3,3,3,5,4
0,3,3,0.08428056870441007,0.27706572553448167,0.21913573958458984,-0.06954786008271732,-0.24218520076432398,1,71,10,9,2,9,9
NA,NA,NA,NA,NA,NA,NA,NA,1,24,12,5,NA,NA,NA
NA,NA,3,0.08428056870441007,-0.8994314525465562,0.02816534963591646,0.3623747928552353,0.022811174462054412,0,28,13,2,7,6,7
0,4,4,-0.2760173345778515,-0.19353314569793348,0.12365054461025315,-0.17752852331720548,0.4644717998393518,1,59,7,2,6,4,6
1,2,1,-0.3660918103984169,-1.01708117035466,-0.3537754302614303,-0.7174318394896462,0.11114329953751388,0,33,5,NA,5,5,5
0,3,3,-0.2760173345778515,-0.5464822991222449,-0.3537754302614303,0.14641346638625896,-0.5071815759907023,1,59,13,5,7,5,4
0,4,4,0.534652947807237,0.630014878958793,0.41010612953326325,0.4703554560897234,-0.33051732583978344,1,72,9,6,9,8,8
NA,NA,NA,NA,NA,NA,NA,NA,0,39,5,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,58,5,3,NA,NA,NA
1,4,3,0.08428056870441007,-1.01708117035466,-0.3537754302614303,-0.7174318394896462,0.11114329953751388,1,24,9,3,10,5,5
0,2,2,-0.5462407620395476,-1.2523806059708675,-0.06731984533842024,-1.2573351556620869,0.2878075496884328,1,63,5,0,3,4,6
0,4,4,-0.2760173345778515,-1.01708117035466,0.41010612953326325,-0.9333931659586225,-0.4188494509152429,1,26,5,9,2,6,8
0,3,3,-0.2760173345778515,0.39471544334258546,-0.7357162101587771,0.14641346638625896,0.022811174462054412,0,23,9,6,8,5,3
NA,NA,NA,NA,NA,NA,NA,NA,1,44,10,10,NA,NA,NA
NA,2,NA,NA,NA,NA,NA,NA,1,56,7,3,NA,NA,NA
0,2,2,-0.7263897136806784,-0.19353314569793348,-1.3086273800047972,0.03843280315177083,0.11114329953751388,1,53,5,8,2,8,1
NA,3,NA,NA,NA,NA,NA,NA,1,41,11,9,NA,NA,NA
NA,NA,3,NA,NA,NA,NA,NA,0,54,5,5,NA,NA,7
NA,NA,3,0.534652947807237,-0.31118286350603724,NA,0.5783361193242116,0.37613967476389226,0,21,7,5,7,9,9
0,4,4,0.08428056870441007,-0.19353314569793348,-0.06731984533842024,0.03843280315177083,-0.24218520076432398,1,48,13,3,4,8,8
NA,NA,NA,NA,NA,NA,NA,NA,0,50,7,6,NA,NA,NA
0,3,3,0.17435504452497544,0.5123651611506892,0.21913573958458984,0.3623747928552353,-0.8605100762925403,1,64,11,4,6,8,7
0,3,3,0.8949508510894986,-0.31118286350603724,0.02816534963591646,0.14641346638625896,-0.4188494509152429,1,44,5,1,10,10,9
NA,NA,NA,NA,NA,NA,NA,NA,0,50,5,8,NA,NA,NA
0,3,3,-0.3660918103984169,-0.5464822991222449,-0.2582902352870936,0.03843280315177083,0.022811174462054412,1,69,13,4,7,4,4
0,4,4,0.6247274236278024,NA,NA,NA,NA,0,NA,13,7,10,7,9
-1,3,4,-0.3660918103984169,0.7476645967668968,0.12365054461025315,0.5783361193242116,-0.9488422013679997,1,47,10,8,3,4,8
0,2,2,0.26442952034554085,0.39471544334258546,0.12365054461025315,0.03843280315177083,0.6411360499902706,0,30,8,4,6,10,6
0,2,2,0.17435504452497544,0.15941600772637787,-0.2582902352870936,-0.8254125027241344,0.11114329953751388,1,40,13,8,5,7,9
0,1,1,-0.005793907116155319,-0.42883258131414104,-0.3537754302614303,0.4703554560897234,-0.6838458261416214,0,42,10,NA,7,5,7
0,3,3,-0.18594285875728608,0.39471544334258546,-0.06731984533842024,0.25439412962074714,0.11114329953751388,0,58,5,5,3,7,7
0,3,3,0.08428056870441007,0.39471544334258546,0.8875321044049467,-0.5014705130206699,-0.7721779512170808,1,32,13,8,1,9,10
NA,NA,NA,NA,NA,NA,NA,NA,0,45,10,7,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,33,13,5,NA,NA,NA
0,3,3,0.17435504452497544,0.5123651611506892,0.12365054461025315,0.4703554560897234,0.2878075496884328,0,50,NA,7,5,7,9
0,3,3,NA,NA,NA,-0.2855091865516936,0.6411360499902706,0,82,5,0,10,9,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,18,3,3,NA,NA,NA
NA,4,NA,NA,NA,NA,NA,NA,0,56,12,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,29,10,10,NA,NA,NA
NA,NA,2,-0.0958683829367207,0.7476645967668968,0.12365054461025315,0.14641346638625896,0.37613967476389226,0,55,5,5,5,5,8
0,3,3,-0.18594285875728608,0.04176628991827409,0.02816534963591646,-0.5014705130206699,-0.06552095061340506,1,51,7,3,6,5,6
0,3,3,-0.45616628621898225,-0.0758834278898297,0.02816534963591646,-0.06954786008271732,0.6411360499902706,1,73,12,6,8,6,0
NA,NA,NA,NA,NA,NA,NA,NA,0,30,11,4,NA,NA,NA
1,4,3,-0.18594285875728608,-0.7817817347384524,-0.06731984533842024,0.902278109027676,-0.06552095061340506,0,74,5,8,6,7,4
0,3,3,0.08428056870441007,-1.01708117035466,-0.3537754302614303,0.03843280315177083,-0.15385307568886453,1,65,13,0,8,7,5
1,4,3,-0.0958683829367207,0.630014878958793,1.0785024943536201,-0.06954786008271732,0.6411360499902706,1,43,5,NA,1,8,9
0,4,4,-0.45616628621898225,-0.7817817347384524,0.21913573958458984,0.4703554560897234,0.19947542461297335,1,59,5,7,3,4,7
0,3,3,-0.2760173345778515,-0.0758834278898297,0.12365054461025315,-0.8254125027241344,0.37613967476389226,0,27,12,3,9,4,3
NA,NA,NA,NA,NA,NA,NA,NA,0,25,5,4,NA,NA,NA
NA,NA,2,-0.2760173345778515,-0.0758834278898297,-0.3537754302614303,0.14641346638625896,0.11114329953751388,0,39,5,7,5,6,5
0,3,3,-0.2760173345778515,-0.6641320169303486,0.5055913245075999,0.14641346638625896,0.6411360499902706,1,68,5,4,2,7,7
0,3,3,-0.18594285875728608,0.27706572553448167,0.21913573958458984,0.25439412962074714,-0.15385307568886453,1,55,13,3,4,7,6
NA,NA,4,-0.636315237860113,-0.42883258131414104,-0.3537754302614303,-0.17752852331720548,0.2878075496884328,1,68,5,3,3,4,5
NA,NA,3,0.4445784719866716,0.7476645967668968,0.02816534963591646,0.14641346638625896,-0.33051732583978344,1,69,10,5,8,8,8
0,3,3,-0.0958683829367207,0.7476645967668968,-0.2582902352870936,-1.0413738291931107,0.5528039249148112,0,21,9,0,10,3,5
-1,3,4,-1.08668761696294,-0.7817817347384524,0.8875321044049467,-1.365315818896575,0.37613967476389226,1,39,9,0,0,2,5
NA,NA,3,0.08428056870441007,-0.31118286350603724,-1.7860533548764808,-0.7174318394896462,1.4361251756694058,0,48,5,2,7,8,5
0,3,3,0.6247274236278024,0.39471544334258546,-0.06731984533842024,-0.06954786008271732,0.11114329953751388,0,43,13,4,10,9,7
0,3,3,-0.18594285875728608,0.39471544334258546,-0.8312014051331138,0.25439412962074714,0.5528039249148112,0,22,9,2,3,7,7
0,2,2,-0.7263897136806784,-0.31118286350603724,0.7920469094306101,0.25439412962074714,0.5528039249148112,0,43,5,6,2,5,4
0,4,4,0.35450399616610623,0.15941600772637787,0.8875321044049467,-0.2855091865516936,-0.4188494509152429,1,32,13,7,4,10,9
-2,2,4,-0.18594285875728608,NA,-0.449260625235767,-0.9333931659586225,-0.9488422013679997,0,49,4,9,1,6,10
0,2,2,-0.005793907116155319,0.7476645967668968,0.41010612953326325,0.3623747928552353,-0.4188494509152429,0,38,10,7,5,7,7
NA,NA,3,0.08428056870441007,0.7476645967668968,1.0785024943536201,-0.5014705130206699,-1.2138385765943782,1,61,8,8,0,10,10
NA,NA,NA,NA,NA,NA,NA,NA,1,57,10,6,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,35,9,7,NA,NA,NA
0,4,4,0.08428056870441007,0.7476645967668968,-0.06731984533842024,-0.2855091865516936,0.19947542461297335,1,75,10,9,10,5,5
NA,NA,NA,NA,NA,NA,NA,NA,1,65,11,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,29,12,8,NA,NA,NA
0,3,3,0.35450399616610623,-0.8994314525465562,0.5055913245075999,0.14641346638625896,-0.15385307568886453,1,44,12,7,6,9,8
0,4,4,0.08428056870441007,0.27706572553448167,0.5055913245075999,0.6863167825586997,0.022811174462054412,0,68,9,0,0,10,10
NA,NA,NA,NA,NA,NA,NA,NA,0,61,7,2,NA,NA,NA
NA,NA,3,0.08428056870441007,0.27706572553448167,0.31462093455892653,-0.17752852331720548,-0.33051732583978344,1,59,10,8,7,7,6
0,3,3,-0.3660918103984169,0.15941600772637787,-0.2582902352870936,0.25439412962074714,-0.4188494509152429,1,51,5,5,4,5,6
0,3,3,-0.18594285875728608,-0.0758834278898297,-0.06731984533842024,-0.2855091865516936,-0.4188494509152429,1,61,5,5,5,5,7
0,3,3,-0.3660918103984169,-0.19353314569793348,-0.8312014051331138,0.03843280315177083,0.19947542461297335,1,67,5,8,7,5,3
NA,4,NA,NA,NA,NA,NA,NA,1,26,13,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,72,5,3,NA,NA,NA
0,2,2,0.534652947807237,-0.19353314569793348,-0.06731984533842024,-1.2573351556620869,-0.5071815759907023,0,21,5,2,7,8,10
0,2,2,0.985025326910064,0.7476645967668968,-0.06731984533842024,-0.06954786008271732,0.37613967476389226,1,66,5,NA,10,10,10
NA,NA,2,-0.18594285875728608,-0.7817817347384524,-0.449260625235767,-0.06954786008271732,0.906132425216649,0,30,4,1,10,4,3
NA,NA,NA,NA,NA,NA,NA,NA,1,52,5,6,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,46,10,3,NA,NA,NA
0,3,3,0.8048763752689332,0.27706572553448167,0.6965617144562734,0.3623747928552353,0.11114329953751388,1,54,12,4,8,10,10
NA,NA,NA,NA,NA,NA,NA,NA,0,58,NA,3,NA,NA,NA
0,2,2,NA,NA,NA,NA,NA,0,38,5,NA,NA,NA,10
0,2,2,-0.2760173345778515,0.5123651611506892,-0.3537754302614303,0.3623747928552353,0.6411360499902706,0,26,5,3,5,6,5
0,3,3,0.534652947807237,-0.6641320169303486,0.12365054461025315,0.14641346638625896,0.37613967476389226,1,58,5,5,9,8,8
0,2,2,0.26442952034554085,0.27706572553448167,0.12365054461025315,0.03843280315177083,-0.24218520076432398,0,27,12,NA,6,7,9
NA,NA,NA,NA,NA,NA,NA,NA,0,21,5,6,NA,NA,NA
-1,2,3,0.17435504452497544,0.15941600772637787,-0.2582902352870936,-0.3934898497861818,-0.06552095061340506,0,35,13,5,8,6,7
NA,3,NA,NA,NA,NA,NA,NA,0,49,10,10,NA,NA,NA
0,2,2,0.17435504452497544,-0.19353314569793348,-0.16280504031275692,-0.2855091865516936,0.2878075496884328,1,35,5,4,7,9,5
-1,2,3,0.4445784719866716,0.630014878958793,0.7920469094306101,0.6863167825586997,-0.06552095061340506,0,39,13,5,10,6,8
0,4,4,-0.45616628621898225,0.7476645967668968,-0.16280504031275692,0.3623747928552353,0.022811174462054412,0,59,9,2,6,6,2
0,4,4,0.985025326910064,0.7476645967668968,-0.06731984533842024,0.4703554560897234,-0.9488422013679997,0,52,12,7,10,10,10
0,3,3,-0.8164641895012438,-0.6641320169303486,0.21913573958458984,0.14641346638625896,0.2878075496884328,0,65,5,NA,1,4,5
1,4,3,-0.18594285875728608,-0.19353314569793348,-0.16280504031275692,-0.06954786008271732,0.2878075496884328,1,86,11,8,5,5,7
NA,NA,NA,NA,NA,NA,NA,NA,0,36,5,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,61,5,3,NA,NA,NA
1,4,3,-0.005793907116155319,0.27706572553448167,-0.8312014051331138,-0.17752852331720548,0.2878075496884328,1,63,11,9,7,8,4
1,4,3,0.534652947807237,0.630014878958793,-0.06731984533842024,0.25439412962074714,-0.24218520076432398,1,79,5,7,5,10,10
0,3,3,-0.8164641895012438,-0.42883258131414104,0.02816534963591646,-0.3934898497861818,0.2878075496884328,0,24,13,2,3,3,4
NA,NA,NA,NA,NA,NA,NA,NA,0,63,5,NA,NA,NA,NA
0,4,4,-0.3660918103984169,0.04176628991827409,-0.16280504031275692,0.14641346638625896,0.5528039249148112,1,28,13,6,1,6,8
NA,NA,NA,NA,NA,NA,NA,NA,1,35,13,8,NA,NA,NA
NA,4,NA,NA,NA,NA,NA,NA,1,63,5,0,NA,NA,NA
NA,3,NA,NA,NA,NA,NA,NA,0,57,12,5,NA,NA,NA
0,2,2,0.17435504452497544,-0.0758834278898297,0.02816534963591646,0.03843280315177083,0.11114329953751388,0,28,7,NA,6,8,7
NA,NA,NA,NA,NA,NA,NA,NA,0,40,7,10,NA,NA,NA
NA,4,NA,NA,NA,NA,NA,NA,0,55,10,7,NA,NA,NA
0,3,3,-0.2760173345778515,0.5123651611506892,-0.16280504031275692,0.7942974457931878,-0.24218520076432398,1,68,5,6,7,4,5
0,2,2,0.08428056870441007,-0.42883258131414104,-0.2582902352870936,-0.06954786008271732,0.8178003001411897,0,32,13,7,7,7,6
-1,1,2,NA,NA,NA,NA,NA,0,49,5,NA,NA,NA,NA
0,3,3,0.35450399616610623,0.630014878958793,0.12365054461025315,-0.06954786008271732,-0.4188494509152429,1,42,10,9,7,8,8
0,3,3,-0.3660918103984169,-0.0758834278898297,0.12365054461025315,0.14641346638625896,0.2878075496884328,1,21,8,6,2,7,6
0,3,3,-0.636315237860113,-0.0758834278898297,0.5055913245075999,-0.7174318394896462,0.37613967476389226,0,42,11,5,5,3,4
0,3,3,-0.8164641895012438,0.5123651611506892,-0.2582902352870936,0.6863167825586997,-0.6838458261416214,1,66,10,8,4,4,2
0,4,4,0.17435504452497544,0.15941600772637787,-0.06731984533842024,0.4703554560897234,0.8178003001411897,1,74,13,0,8,5,8
0,2,2,0.6247274236278024,0.5123651611506892,-0.2582902352870936,-0.7174318394896462,0.906132425216649,1,47,5,5,10,8,8
1,4,3,0.17435504452497544,-0.42883258131414104,-0.06731984533842024,0.25439412962074714,0.19947542461297335,1,62,12,5,8,7,6
-1,2,3,-0.8164641895012438,0.5123651611506892,0.6965617144562734,-0.2855091865516936,-0.5955137010661619,0,50,5,7,1,5,4
NA,3,NA,NA,NA,NA,NA,NA,1,63,10,9,NA,NA,NA
0,3,3,-0.45616628621898225,0.04176628991827409,-0.16280504031275692,-0.2855091865516936,0.7294681750657301,0,25,13,7,3,4,7
NA,3,NA,NA,NA,NA,NA,NA,0,44,5,6,NA,NA,NA
0,3,3,0.35450399616610623,0.27706572553448167,-0.8312014051331138,0.4703554560897234,-0.5071815759907023,0,60,12,9,10,8,5
NA,2,NA,NA,NA,NA,NA,NA,1,29,11,5,NA,NA,NA
NA,3,NA,NA,NA,NA,NA,NA,1,34,5,9,NA,NA,NA
0,4,4,0.17435504452497544,0.04176628991827409,0.21913573958458984,0.5783361193242116,-0.7721779512170808,1,32,13,2,7,7,7
0,2,2,0.7148018994483678,0.630014878958793,-0.3537754302614303,-1.2573351556620869,0.4644717998393518,0,31,5,7,10,10,7
NA,NA,4,0.534652947807237,-1.3700303237789713,-0.449260625235767,-0.6094511762551581,-0.06552095061340506,0,30,4,NA,8,7,10
NA,NA,NA,NA,NA,NA,NA,NA,1,47,10,8,NA,NA,NA
0,3,3,0.08428056870441007,-0.31118286350603724,-0.3537754302614303,-0.06954786008271732,0.37613967476389226,1,57,7,9,5,7,8
1,3,2,0.26442952034554085,-0.42883258131414104,-0.16280504031275692,-0.06954786008271732,-0.24218520076432398,1,50,3,2,10,7,5
0,3,3,0.35450399616610623,-0.0758834278898297,-0.2582902352870936,0.6863167825586997,0.4644717998393518,0,48,13,3,8,8,7
0,3,3,0.6247274236278024,0.5123651611506892,1.0785024943536201,0.3623747928552353,-0.8605100762925403,1,35,13,5,6,10,10
0,3,3,0.35450399616610623,-0.19353314569793348,0.12365054461025315,0.4703554560897234,-0.33051732583978344,1,71,5,6,6,9,8
NA,NA,2,-0.8164641895012438,0.15941600772637787,-0.16280504031275692,0.03843280315177083,-0.4188494509152429,0,28,5,6,0,5,5
NA,NA,NA,NA,NA,NA,NA,NA,0,73,13,5,NA,NA,NA
1,4,3,0.534652947807237,0.7476645967668968,0.41010612953326325,0.3623747928552353,0.2878075496884328,1,51,10,8,5,10,10
0,2,2,0.26442952034554085,0.39471544334258546,-1.2131421850304607,0.4703554560897234,-0.24218520076432398,1,31,13,7,8,8,6
0,2,2,0.35450399616610623,-0.7817817347384524,0.21913573958458984,0.03843280315177083,0.19947542461297335,0,48,5,10,9,9,5
NA,NA,NA,NA,NA,NA,NA,NA,1,60,5,8,NA,NA,NA
0,4,4,0.6247274236278024,0.04176628991827409,0.12365054461025315,0.6863167825586997,0.37613967476389226,0,22,9,0,9,9,8
0,3,3,-0.0958683829367207,-0.19353314569793348,0.02816534963591646,-0.3934898497861818,-0.33051732583978344,1,36,13,8,3,8,7
0,2,2,-0.2760173345778515,-0.19353314569793348,-0.449260625235767,-0.2855091865516936,0.2878075496884328,1,57,5,6,6,5,5
0,3,3,-0.18594285875728608,-0.0758834278898297,-0.449260625235767,-0.2855091865516936,0.37613967476389226,1,51,5,9,3,8,6
