election,placebo,pintr,pintr_placebo,male,age,edu,ideology,O_sd,C_sd,E_sd,A_sd,N_sd,p09c64,p09c69
NA,NA,NA,NA,0,97,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,10,10,1,52,10,5,-0.8838635051285936,0.03215883270365715,0.10215797169020377,-0.4682946633438758,-0.43236252201148023,4,2
NA,NA,2,3,0,49,4,NA,-1.2857998919333034,0.523953664537635,0.6326754512769124,0.2391320955133061,0.0027954955387905684,3,0
NA,NA,1,2,1,19,1,3,-0.4819271183238836,0.360022053926309,0.8979341910702665,0.4159887852276018,-0.14225717697796647,9,0
NA,NA,6,NA,0,16,0,NA,0.32194565528553626,0.19609044331498324,0.234787341586881,0.4159887852276018,-0.28730984949472316,9,6
1,NA,8,10,0,69,4,1,-0.07999073151917374,-0.6235676097416465,-0.4283595078965045,0.06227540579901044,0.1478481680555473,4,8
NA,NA,8,8,1,69,10,3,0.32194565528553626,-0.29570438851899467,0.10215797169020377,-0.822008042772467,-0.722467867044994,8,7
NA,NA,7,8,0,47,4,5,-0.07999073151917374,-0.29570438851899467,-0.16310076810315038,-0.4682946633438758,-0.43236252201148023,5,7
NA,NA,8,5,1,44,10,4,0.32194565528553626,-1.27929405218695,0.10215797169020377,-0.2914379736295805,-0.14225717697796647,7,8
NA,NA,8,NA,1,17,0,NA,0.32194565528553626,0.03215883270365715,0.234787341586881,-0.11458128391528485,-0.28730984949472316,9,6
NA,NA,NA,NA,1,56,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,4,3,0,52,4,6,-0.34794832272231363,0.03215883270365715,-0.2957301379998273,-0.11458128391528485,0.2929008405723043,6,4
NA,NA,5,5,1,73,1,5,-0.7498847095270236,-0.29570438851899467,0.3674167114835582,-0.11458128391528485,-0.14225717697796647,5,2
NA,NA,NA,NA,1,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,72,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,2,4,0,47,4,5,-0.34794832272231363,-0.6235676097416465,-0.2957301379998273,0.06227540579901044,-0.28730984949472316,5,5
NA,NA,NA,NA,1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,58,6,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,55,6,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,8,8,1,25,6,1,0.05398806408239635,-0.9514308309642983,0.10215797169020377,0.06227540579901044,0.2929008405723043,9,4
NA,NA,NA,NA,1,23,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,7,7,0,62,6,2,0.05398806408239635,-0.1317727779076686,-0.6936182476898587,0.06227540579901044,0.5830061856058181,6,7
NA,NA,8,7,1,40,9,4,0.857860837691816,0.360022053926309,0.234787341586881,0.2391320955133061,0.5830061856058181,9,10
NA,NA,7,6,0,38,6,2,0.32194565528553626,-0.4596359991303204,0.3674167114835582,-0.11458128391528485,-0.14225717697796647,7,8
NA,NA,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,5,6,1,44,7,7,-0.8838635051285936,0.360022053926309,-0.4283595078965045,-0.11458128391528485,-0.14225717697796647,4,2
NA,NA,3,5,0,43,6,5,-0.4819271183238836,-0.1317727779076686,-0.16310076810315038,0.06227540579901044,0.0027954955387905684,3,6
NA,NA,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,7,8,0,53,9,1,0.4559244508871063,-0.1317727779076686,0.5000460813802351,0.06227540579901044,0.2929008405723043,9,7
NA,NA,NA,NA,1,50,9,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,6,7,0,43,2,5,-0.34794832272231363,0.03215883270365715,0.3674167114835582,-0.4682946633438758,0.1478481680555473,7,3
NA,NA,9,9,1,42,4,6,-0.07999073151917374,0.6878852751489608,0.10215797169020377,0.5928454749418971,0.43795351308906133,5,7
NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,90,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,9,10,0,87,4,5,-0.8838635051285936,0.360022053926309,0.3674167114835582,0.4159887852276018,-0.5774151945282371,2,4
NA,NA,8,8,1,65,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,5,NA,1,86,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,79,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,6,NA,1,68,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,66,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,5,5,0,47,5,5,0.18796685968396615,0.6878852751489608,-0.030471398206473158,0.5928454749418971,1.018164203156089,9,5
NA,NA,8,8,1,43,4,6,0.05398806408239635,-0.1317727779076686,0.10215797169020377,0.5928454749418971,0.1478481680555473,8,5
NA,NA,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,2,2,1,31,4,5,0.5899032464886761,0.523953664537635,0.8979341910702665,0.5928454749418971,0.43795351308906133,10,7
NA,1,4,5,1,30,1,5,-0.7498847095270236,0.03215883270365715,0.10215797169020377,-0.6451513530581715,-0.43236252201148023,5,2
NA,NA,5,3,0,30,4,6,-0.34794832272231363,0.6878852751489608,0.6326754512769124,0.7697021646561928,-0.867520539561751,2,8
NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,7,6,1,41,6,5,0.7238820420902462,0.360022053926309,0.5000460813802351,-0.9988647324867624,0.0027954955387905684,9,9
NA,1,5,7,1,47,10,6,0.32194565528553626,-0.6235676097416465,-0.6936182476898587,0.2391320955133061,-0.28730984949472316,8,7
1,NA,8,10,1,48,7,3,0.32194565528553626,-0.1317727779076686,0.10215797169020377,-0.2914379736295805,-0.28730984949472316,7,8
NA,NA,5,5,0,51,4,5,0.18796685968396615,0.19609044331498324,0.5000460813802351,0.4159887852276018,0.5830061856058181,9,5
NA,NA,2,2,0,25,6,6,0.5899032464886761,0.03215883270365715,0.3674167114835582,-0.11458128391528485,0.1478481680555473,10,7
NA,NA,NA,2,0,23,2,6,0.7238820420902462,-0.4596359991303204,0.6326754512769124,0.06227540579901044,0.0027954955387905684,8,10
NA,1,4,3,0,21,1,3,0.4559244508871063,-0.1317727779076686,-0.2957301379998273,0.4159887852276018,0.1478481680555473,8,8
1,NA,0,NA,1,24,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,6,7,1,58,4,7,-0.6159059139254536,0.19609044331498324,0.234787341586881,0.2391320955133061,0.2929008405723043,3,5
NA,1,6,7,0,49,4,4,-0.07999073151917374,-0.4596359991303204,0.10215797169020377,0.2391320955133061,-0.28730984949472316,8,4
NA,NA,7,7,1,19,1,9,-0.34794832272231363,0.19609044331498324,-0.16310076810315038,-0.11458128391528485,0.0027954955387905684,8,2
NA,0,3,5,0,18,1,6,-0.34794832272231363,-0.4596359991303204,0.3674167114835582,-0.11458128391528485,-0.14225717697796647,4,6
NA,NA,8,5,1,79,4,5,0.05398806408239635,0.8518168857602868,0.234787341586881,0.946558854370488,1.018164203156089,8,5
NA,NA,5,5,0,75,4,5,-0.07999073151917374,0.8518168857602868,-0.4283595078965045,0.2391320955133061,1.018164203156089,5,7
NA,NA,9,9,1,38,7,8,-0.7498847095270236,0.360022053926309,-0.16310076810315038,-0.4682946633438758,0.7280588581225751,4,3
NA,1,6,5,0,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,7,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,7,5,1,49,7,5,-0.6159059139254536,0.523953664537635,0.6326754512769124,-0.6451513530581715,0.1478481680555473,7,1
NA,NA,3,1,0,41,4,5,-0.34794832272231363,0.523953664537635,0.3674167114835582,0.2391320955133061,0.2929008405723043,5,5
NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,3,0,0,54,4,NA,-1.0178423007301636,-0.1317727779076686,-0.030471398206473158,0.06227540579901044,0.5830061856058181,3,2
NA,NA,3,4,1,58,1,6,-0.6159059139254536,0.523953664537635,0.3674167114835582,-0.4682946633438758,0.2929008405723043,6,2
NA,NA,9,9,1,75,9,3,-0.4819271183238836,-0.7874992203529724,-0.6936182476898587,-0.2914379736295805,-0.5774151945282371,8,1
NA,NA,10,10,0,73,5,0,0.9918396332933861,-0.29570438851899467,-0.6936182476898587,0.5928454749418971,-0.5774151945282371,10,10
NA,NA,3,8,0,53,1,NA,0.32194565528553626,0.523953664537635,-0.030471398206473158,1.1234155440847837,0.43795351308906133,10,5
NA,NA,4,4,1,35,7,7,-0.4819271183238836,0.6878852751489608,0.7653048211735893,0.2391320955133061,0.2929008405723043,8,1
NA,NA,3,3,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,67,8,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,3,6,0,65,4,5,-0.6159059139254536,0.19609044331498324,-0.4283595078965045,0.06227540579901044,0.0027954955387905684,5,3
NA,NA,6,8,1,77,4,3,-0.21396952712074355,0.523953664537635,-0.030471398206473158,0.4159887852276018,0.2929008405723043,3,8
NA,NA,6,9,0,67,2,4,-0.34794832272231363,-0.1317727779076686,-0.030471398206473158,0.06227540579901044,0.1478481680555473,5,5
NA,NA,4,7,0,49,6,7,-1.1518210963317335,0.03215883270365715,-0.6936182476898587,0.06227540579901044,-0.28730984949472316,2,2
NA,1,7,7,1,43,9,7,-0.07999073151917374,-0.29570438851899467,-0.2957301379998273,-0.2914379736295805,-0.28730984949472316,6,6
NA,NA,7,7,1,59,6,7,0.4559244508871063,-0.29570438851899467,0.234787341586881,0.2391320955133061,-0.5774151945282371,9,7
NA,NA,7,6,0,47,4,NA,-0.21396952712074355,-0.29570438851899467,-0.4283595078965045,-0.2914379736295805,-0.867520539561751,5,6
NA,NA,4,5,0,19,0,6,0.32194565528553626,-0.6235676097416465,0.10215797169020377,0.06227540579901044,-0.722467867044994,10,5
NA,NA,5,5,1,17,0,NA,-0.07999073151917374,-0.4596359991303204,0.234787341586881,-0.11458128391528485,0.1478481680555473,7,5
NA,NA,NA,NA,1,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,6,7,0,73,2,5,-0.07999073151917374,-0.1317727779076686,-0.4283595078965045,-0.2914379736295805,0.1478481680555473,6,6
NA,NA,NA,NA,1,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,7,7,0,52,3,5,0.7238820420902462,0.8518168857602868,0.8979341910702665,0.7697021646561928,0.2929008405723043,8,10
NA,NA,NA,NA,0,25,6,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,22,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,10,10,1,57,10,4,0.7238820420902462,0.360022053926309,0.234787341586881,0.06227540579901044,-0.722467867044994,10,8
NA,0,9,9,0,54,4,1,0.7238820420902462,0.19609044331498324,0.234787341586881,0.06227540579901044,0.5830061856058181,8,10
NA,NA,8,8,1,84,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,83,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2,0,1,49,8,5,0.05398806408239635,-0.9514308309642983,-0.2957301379998273,-0.2914379736295805,-0.5774151945282371,9,4
NA,NA,1,2,0,43,4,NA,-0.21396952712074355,0.360022053926309,-0.5609888777931816,-0.11458128391528485,0.0027954955387905684,5,6
NA,NA,NA,NA,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,3,1,50,4,NA,-0.7498847095270236,0.8518168857602868,-0.030471398206473158,0.946558854370488,0.43795351308906133,6,1
1,NA,8,8,1,39,9,NA,-0.21396952712074355,-0.1317727779076686,0.10215797169020377,0.2391320955133061,0.5830061856058181,7,4
NA,NA,6,5,0,39,4,4,0.4559244508871063,-0.29570438851899467,0.234787341586881,-0.4682946633438758,-0.14225717697796647,8,8
NA,NA,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,8,1,42,5,5,-0.21396952712074355,0.03215883270365715,0.8979341910702665,0.4159887852276018,0.7280588581225751,8,3
NA,NA,0,2,0,38,4,5,-0.4819271183238836,-0.29570438851899467,0.7653048211735893,-0.11458128391528485,0.8731115306393318,7,2
NA,NA,0,0,0,19,1,2,0.4559244508871063,-0.1317727779076686,0.6326754512769124,0.06227540579901044,-0.28730984949472316,9,7
NA,NA,1,3,1,17,0,NA,0.32194565528553626,-0.1317727779076686,-0.030471398206473158,-0.6451513530581715,0.1478481680555473,8,7
NA,NA,1,3,0,41,4,5,-0.34794832272231363,0.360022053926309,-0.2957301379998273,0.946558854370488,0.43795351308906133,7,3
NA,NA,1,3,1,39,4,5,0.5899032464886761,0.6878852751489608,0.3674167114835582,-0.11458128391528485,-0.43236252201148023,8,9
NA,NA,8,8,1,51,10,5,-0.07999073151917374,-0.6235676097416465,-0.16310076810315038,-0.6451513530581715,-0.867520539561751,7,5
NA,NA,8,8,0,45,4,5,-0.07999073151917374,-0.1317727779076686,-0.2957301379998273,-0.822008042772467,-0.5774151945282371,7,5
NA,NA,NA,NA,0,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,67,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,5,0,64,1,9,-0.7498847095270236,0.6878852751489608,0.5000460813802351,0.2391320955133061,-0.28730984949472316,5,2
NA,1,3,2,1,57,4,5,-0.7498847095270236,0.03215883270365715,0.5000460813802351,0.2391320955133061,0.2929008405723043,4,3
NA,NA,5,4,0,55,2,5,0.7238820420902462,0.360022053926309,0.234787341586881,0.4159887852276018,-0.43236252201148023,9,9
NA,1,7,7,1,31,6,6,-0.07999073151917374,-0.29570438851899467,-0.16310076810315038,0.2391320955133061,0.43795351308906133,10,2
0,NA,7,6,0,32,10,3,0.18796685968396615,0.6878852751489608,0.234787341586881,0.06227540579901044,-0.43236252201148023,7,7
NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,6,0,71,1,5,0.18796685968396615,0.03215883270365715,0.5000460813802351,0.4159887852276018,0.2929008405723043,7,7
1,NA,10,10,1,68,7,9,0.5899032464886761,0.8518168857602868,0.8979341910702665,0.4159887852276018,1.018164203156089,7,10
NA,NA,6,6,1,60,4,5,0.05398806408239635,-0.29570438851899467,-0.2957301379998273,0.06227540579901044,-0.867520539561751,8,5
NA,NA,8,NA,0,68,5,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,9,1,74,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,5,0,83,4,NA,-0.34794832272231363,0.8518168857602868,0.8979341910702665,0.2391320955133061,-0.43236252201148023,5,5
NA,NA,7,8,1,37,4,7,-0.34794832272231363,0.360022053926309,0.3674167114835582,-0.11458128391528485,0.2929008405723043,2,8
NA,NA,NA,NA,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,0,0,60,1,NA,0.4559244508871063,0.523953664537635,0.5000460813802351,-0.11458128391528485,0.43795351308906133,9,7
NA,NA,NA,NA,1,59,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,4,5,0,64,7,5,-0.34794832272231363,0.8518168857602868,-0.4283595078965045,0.2391320955133061,0.0027954955387905684,5,5
NA,NA,4,3,1,64,9,10,-0.34794832272231363,0.8518168857602868,0.8979341910702665,0.946558854370488,-0.14225717697796647,10,0
NA,NA,5,6,1,39,9,6,-0.34794832272231363,-0.6235676097416465,-0.2957301379998273,-0.11458128391528485,-0.14225717697796647,7,3
NA,NA,5,6,0,32,9,5,-0.07999073151917374,0.8518168857602868,0.7653048211735893,0.2391320955133061,0.43795351308906133,7,5
1,NA,0,2,1,34,4,NA,-0.4819271183238836,-0.4596359991303204,-0.030471398206473158,-0.11458128391528485,0.2929008405723043,6,3
NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,7,8,0,56,10,3,0.05398806408239635,0.19609044331498324,-0.16310076810315038,-0.2914379736295805,-0.14225717697796647,6,7
NA,NA,7,7,1,25,1,4,0.18796685968396615,-1.27929405218695,0.3674167114835582,-0.2914379736295805,0.5830061856058181,10,4
1,NA,5,5,0,81,4,5,0.18796685968396615,-0.6235676097416465,-0.9588769874832129,0.7697021646561928,-0.867520539561751,8,6
NA,NA,5,4,1,64,1,5,-0.34794832272231363,0.19609044331498324,-0.6936182476898587,0.4159887852276018,-0.14225717697796647,10,0
NA,NA,5,5,0,49,2,6,0.4559244508871063,-0.1317727779076686,-0.16310076810315038,0.06227540579901044,-0.5774151945282371,10,6
NA,NA,4,8,1,25,6,8,0.4559244508871063,-0.29570438851899467,-0.030471398206473158,0.06227540579901044,0.1478481680555473,9,7
NA,NA,5,5,0,83,4,NA,-1.2857998919333034,0.523953664537635,0.5000460813802351,0.7697021646561928,-0.43236252201148023,1,2
NA,NA,NA,NA,0,47,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,46,7,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,3,3,1,20,1,6,0.4559244508871063,0.03215883270365715,0.3674167114835582,-0.2914379736295805,0.2929008405723043,6,10
NA,1,4,4,1,19,2,5,-0.4819271183238836,-0.6235676097416465,0.10215797169020377,-0.4682946633438758,-0.14225717697796647,4,5
NA,NA,8,10,1,47,9,4,-1.0178423007301636,0.360022053926309,-0.030471398206473158,0.7697021646561928,0.5830061856058181,3,2
NA,NA,8,8,0,45,5,5,-0.21396952712074355,0.03215883270365715,0.10215797169020377,-0.11458128391528485,0.2929008405723043,5,6
NA,NA,5,NA,1,22,6,NA,-0.21396952712074355,0.6878852751489608,-0.8262476175865359,-1.3525781119153537,0.43795351308906133,5,6
NA,NA,NA,2,1,19,0,0,0.05398806408239635,-0.4596359991303204,-0.5609888777931816,-0.9988647324867624,0.2929008405723043,7,6
0,NA,4,7,1,47,4,6,-0.34794832272231363,0.19609044331498324,0.234787341586881,-0.2914379736295805,-0.28730984949472316,8,2
NA,NA,5,6,0,46,6,4,0.05398806408239635,0.03215883270365715,0.5000460813802351,0.06227540579901044,0.2929008405723043,6,7
NA,NA,5,6,0,19,0,6,0.05398806408239635,0.360022053926309,0.5000460813802351,-0.4682946633438758,-0.28730984949472316,7,6
NA,NA,7,7,0,18,0,6,-0.21396952712074355,-0.1317727779076686,0.3674167114835582,-0.11458128391528485,-0.28730984949472316,8,3
NA,NA,5,NA,1,16,0,NA,-0.6159059139254536,-0.29570438851899467,0.5000460813802351,0.06227540579901044,-0.5774151945282371,5,3
NA,NA,5,5,1,51,4,5,0.857860837691816,0.6878852751489608,0.5000460813802351,0.06227540579901044,-0.5774151945282371,9,10
NA,NA,1,3,0,50,4,5,0.32194565528553626,0.19609044331498324,-0.9588769874832129,0.4159887852276018,-0.5774151945282371,8,7
1,0,7,8,0,52,3,2,0.18796685968396615,0.03215883270365715,-0.2957301379998273,-0.11458128391528485,0.43795351308906133,7,7
NA,NA,NA,NA,0,22,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,9,9,1,20,1,0,0.9918396332933861,-0.6235676097416465,0.6326754512769124,-0.11458128391528485,0.0027954955387905684,10,10
NA,NA,8,8,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,5,5,1,68,1,8,-0.21396952712074355,0.523953664537635,-0.2957301379998273,0.4159887852276018,0.43795351308906133,8,3
1,NA,8,7,0,65,2,7,-0.34794832272231363,-0.29570438851899467,-0.2957301379998273,-0.6451513530581715,-0.43236252201148023,7,3
NA,1,10,10,1,71,0,3,0.32194565528553626,0.03215883270365715,-1.09150635737989,-2.4137182502011267,-1.4477312296287785,10,5
NA,1,8,5,0,61,7,5,0.32194565528553626,0.19609044331498324,0.10215797169020377,0.06227540579901044,0.0027954955387905684,8,7
NA,NA,NA,NA,1,74,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,4,5,0,68,2,5,-0.8838635051285936,0.523953664537635,-0.16310076810315038,-1.1757214222010581,-0.5774151945282371,5,1
NA,NA,5,5,1,44,4,4,-0.7498847095270236,-0.4596359991303204,-0.5609888777931816,-0.822008042772467,-0.43236252201148023,5,2
NA,NA,3,5,0,40,4,5,0.32194565528553626,-0.4596359991303204,0.3674167114835582,-0.4682946633438758,-0.14225717697796647,8,7
NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,8,0,56,4,3,0.32194565528553626,0.19609044331498324,-0.8262476175865359,0.06227540579901044,-0.28730984949472316,5,10
NA,NA,NA,NA,1,41,4,10,-0.6159059139254536,0.8518168857602868,-0.9588769874832129,0.5928454749418971,0.43795351308906133,8,0
NA,NA,NA,NA,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,5,1,56,7,5,-0.34794832272231363,0.523953664537635,0.6326754512769124,-0.11458128391528485,0.0027954955387905684,8,2
NA,NA,3,5,0,56,7,5,0.05398806408239635,0.360022053926309,0.10215797169020377,0.4159887852276018,0.0027954955387905684,8,5
NA,NA,5,7,0,54,4,NA,0.7238820420902462,0.6878852751489608,-0.6936182476898587,0.2391320955133061,-0.28730984949472316,10,8
0,NA,0,NA,1,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,5,8,1,82,2,5,0.32194565528553626,-0.1317727779076686,0.6326754512769124,-0.6451513530581715,-0.722467867044994,9,6
NA,NA,8,10,0,82,4,5,0.05398806408239635,-0.1317727779076686,0.6326754512769124,0.4159887852276018,-1.0125732120785078,7,6
NA,NA,NA,NA,1,72,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,0,0,0,65,1,NA,-0.21396952712074355,-0.1317727779076686,-0.6936182476898587,NA,-1.3026785571120216,5,6
NA,NA,6,7,1,54,7,3,0.4559244508871063,-0.29570438851899467,-0.4283595078965045,-0.2914379736295805,-0.14225717697796647,8,8
NA,NA,7,5,0,41,5,6,0.05398806408239635,0.03215883270365715,0.234787341586881,-0.2914379736295805,0.2929008405723043,8,5
NA,NA,5,7,1,36,7,5,-0.21396952712074355,-0.6235676097416465,-0.030471398206473158,0.06227540579901044,0.0027954955387905684,6,5
NA,NA,7,6,1,55,7,5,-0.34794832272231363,0.8518168857602868,-0.6936182476898587,-0.6451513530581715,0.0027954955387905684,10,0
NA,NA,6,6,0,51,2,5,-0.21396952712074355,0.360022053926309,-0.4283595078965045,0.5928454749418971,-0.43236252201148023,8,3
NA,NA,7,4,1,22,4,8,0.05398806408239635,0.19609044331498324,-0.2957301379998273,0.4159887852276018,0.43795351308906133,5,8
NA,NA,5,5,0,19,2,NA,-0.4819271183238836,-0.7874992203529724,0.10215797169020377,-0.4682946633438758,0.1478481680555473,7,2
NA,NA,7,8,1,17,0,NA,0.857860837691816,0.523953664537635,-0.030471398206473158,0.4159887852276018,0.7280588581225751,10,9
NA,NA,NA,NA,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,2,2,1,46,6,7,-1.0178423007301636,0.03215883270365715,0.6326754512769124,-0.11458128391528485,0.7280588581225751,5,0
0,NA,0,0,0,40,6,NA,0.4559244508871063,0.8518168857602868,0.8979341910702665,1.1234155440847837,1.018164203156089,6,10
NA,NA,0,3,0,19,2,NA,0.9918396332933861,0.19609044331498324,0.8979341910702665,0.4159887852276018,0.0027954955387905684,10,10
NA,NA,0,0,1,18,0,NA,0.32194565528553626,-0.4596359991303204,0.3674167114835582,0.2391320955133061,-0.867520539561751,10,5
1,1,3,8,1,17,0,NA,0.05398806408239635,-0.29570438851899467,0.8979341910702665,-1.88314818105824,0.43795351308906133,8,5
NA,NA,NA,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,3,NA,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,10,10,1,59,4,7,-0.21396952712074355,0.03215883270365715,-0.16310076810315038,0.2391320955133061,0.2929008405723043,6,5
NA,NA,8,7,0,56,4,5,0.05398806408239635,0.523953664537635,0.5000460813802351,-0.2914379736295805,0.0027954955387905684,7,6
NA,NA,10,10,1,57,7,7,-0.07999073151917374,0.360022053926309,0.10215797169020377,-0.11458128391528485,-0.14225717697796647,6,6
0,NA,7,7,0,49,4,7,0.05398806408239635,0.03215883270365715,0.6326754512769124,-0.6451513530581715,0.1478481680555473,8,5
NA,NA,NA,NA,1,21,0,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,2,4,1,18,1,4,0.4559244508871063,0.360022053926309,-0.2957301379998273,0.2391320955133061,-0.14225717697796647,7,9
NA,NA,6,6,0,50,9,5,-0.34794832272231363,-0.29570438851899467,-0.2957301379998273,-0.2914379736295805,-0.5774151945282371,5,5
NA,NA,NA,NA,1,44,10,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,8,1,58,9,6,-0.7498847095270236,-0.6235676097416465,-0.030471398206473158,0.4159887852276018,-0.28730984949472316,3,4
NA,NA,NA,NA,0,55,4,8,0.32194565528553626,0.523953664537635,0.234787341586881,0.5928454749418971,0.43795351308906133,8,7
NA,NA,0,2,0,26,4,5,-0.7498847095270236,-0.29570438851899467,-0.030471398206473158,0.5928454749418971,-0.867520539561751,5,2
NA,NA,NA,NA,1,81,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,10,0,74,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0,1,61,5,5,-0.07999073151917374,-0.1317727779076686,-0.030471398206473158,0.2391320955133061,0.2929008405723043,5,7
